name,gpu_chip,released,bus,memory,gpu_clock,memory_clock,shaders/TMUs/ROPs,TDP
Athlon 64 3000+,NewCastle,1,1800 MHz,Socket 754,130 nm,N/A,32 W,32
Opteron A1150,Seattle,8,1700 MHz,Socket SP1,28 nm,8MB,32 W,32
Opteron A1170,Seattle,8,2000 MHz,Socket SP1,28 nm,8MB,32 W,32
Turion 64 ML-28,Lancaster,1,1600 MHz,Socket 754,90 nm,N/A,32 W,32
Turion X2 Ultra ZM-80,Griffin,2,2.1 GHz,Socket S1,65 nm,N/A,32 W,32
Pentium 4-M 1.90,Northwood,1,1900 MHz,Socket 478,130 nm,N/A,32 W,32
Pentium 4-M 2.00,Northwood,1,2000 MHz,Socket 478,130 nm,N/A,32 W,32
Pentium III 1400S,Tualatin,1,1400 MHz,Socket 370,130 nm,N/A,32 W,32
A10-5750M,Richland,4,2.5 to 3.5 GHz,Socket FS1r2,32 nm,N/A,35 W,35
A10-5757M,Richland,4,2.5 to 3.5 GHz,Socket FP2,32 nm,N/A,35 W,35
A10-9700E,Bristol Ridge,4,3 to 3.5 GHz,Socket AM4,28 nm,N/A,35 W,35
A12-9800E,Bristol Ridge,4,3.1 to 3.8 GHz,Socket AM4,28 nm,N/A,35 W,35
A4-5150M,Richland,2,2.7 to 3.3 GHz,Socket FS1r2,32 nm,N/A,35 W,35
A6-5350M,Richland,2,2.9 to 3.5 GHz,Socket FS1r2,32 nm,N/A,35 W,35
A6-5357M,Richland,2,2.9 to 3.5 GHz,Socket FP2,32 nm,N/A,35 W,35
A6-9500E,Bristol Ridge,2,3 to 3.4 GHz,Socket AM4,28 nm,N/A,35 W,35
A8-5550M,Richland,4,2.1 to 3.1 GHz,Socket FS1r2,32 nm,N/A,35 W,35
A8-5557M,Richland,4,2.1 to 3.1 GHz,Socket FP2,32 nm,N/A,35 W,35
Athlon 200GE,Zen,2  / 4,3.2 GHz,Socket AM4,14 nm,4MB,35 W,35
Athlon 220GE,Zen,2  / 4,3.4 GHz,Socket AM4,14 nm,4MB,35 W,35
Athlon 220GE,Zen,2  / 4,3.4 GHz,Socket AM4,14 nm,4MB,35 W,35
Athlon 220GE,Zen,2  / 4,3.4 GHz,Socket AM4,14 nm,4MB,35 W,35
Athlon 240GE,Zen,2  / 4,3.5 GHz,Socket AM4,14 nm,4MB,35 W,35
Athlon 3000G,Zen,2  / 4,3.5 GHz,Socket AM4,14 nm,4MB,35 W,35
Athlon Gold 3150GE,Dali,4,3.5 to 3.8 GHz,Socket AM4,12 nm,4MB,35 W,35
Athlon Gold PRO 3150GE,Dali,4,3.5 to 3.8 GHz,Socket AM4,12 nm,4MB,35 W,35
Athlon PRO 200GE,Zen,2,3.2 GHz,Socket AM4,14 nm,4MB,35 W,35
Athlon Silver 3050GE,Dali,2  / 4,3.4 GHz,Socket AM4,12 nm,4MB,35 W,35
Athlon Silver PRO 3125GE,Dali,2  / 4,3.4 GHz,Socket AM4,12 nm,4MB,35 W,35
Ryzen 3 4300GE,Renoir,4  / 8,3.5 to 4 GHz,Socket AM4,7 nm,4MB,35 W,35
Ryzen 3 PRO 4350GE,Renoir,4  / 8,3.5 to 4 GHz,Socket AM4,7 nm,4MB,35 W,35
Ryzen 5 3550H,Picasso,4  / 8,2.1 to 3.7 GHz,Socket FP5,12 nm,4MB,35 W,35
Ryzen 5 4600GE,Renoir,6  / 12,3.3 to 4.2 GHz,Socket AM4,7 nm,8MB,35 W,35
Ryzen 5 4600HS,Renoir,6  / 12,3 to 4 GHz,Socket FP6,7 nm,11MB,35 W,35
Ryzen 5 PRO 4650GE,Renoir,6  / 12,3.3 to 4.2 GHz,Socket AM4,7 nm,8MB,35 W,35
Ryzen 7 3750H,Picasso,4  / 8,2.3 to 4 GHz,Socket FP5,12 nm,4MB,35 W,35
Ryzen 7 4700GE,Renoir,8  / 16,3.1 to 4.3 GHz,Socket AM4,7 nm,8MB,35 W,35
Ryzen 7 4800HS,Renoir,8  / 16,2.9 to 4.2 GHz,Socket FP6,7 nm,12MB,35 W,35
Ryzen 7 5800HS,Cezanne,8  / 16,2.8 to 4.4 GHz,Socket FP6,7 nm,16MB,35 W,35
Ryzen 7 PRO 4750GE,Renoir,8  / 16,3.1 to 4.3 GHz,Socket AM4,7 nm,8MB,35 W,35
Ryzen 9 4900HS,Renoir,8  / 16,3 to 4.3 GHz,Socket FP6,7 nm,12MB,35 W,35
Ryzen 9 5980HS,Cezanne,8  / 16,3 to 4.8 GHz,Socket FP6,7 nm,16MB,35 W,35
Celeron 1000M,Ivy Bridge,2,1800 MHz,Socket G2 (988B),22 nm,2MB,35 W,35
Celeron 1020E,Ivy Bridge,2,2.2 GHz,BGA 1023,22 nm,2MB,35 W,35
Celeron 1020E,Ivy Bridge,2,2.2 GHz,Socket G2 (988B),22 nm,2MB,35 W,35
Celeron 1020M,Ivy Bridge,2,2.1 GHz,Socket G2 (988B),22 nm,2MB,35 W,35
Celeron G1620T,Ivy Bridge,2,2.4 GHz,Socket 1155,22 nm,2MB,35 W,35
Celeron G3930T,Kaby Lake,2,2.7 GHz,Socket 1151,14 nm,2MB,35 W,35
Core i3-10105T,Comet Lake-R,4  / 8,3 to 3.9 GHz,Socket 1200,14 nm,6MB,35 W,35
Core i3-10305T,Comet Lake-R,4  / 8,3 to 4 GHz,Socket 1200,14 nm,8MB,35 W,35
Core i3-3130M,Ivy Bridge,2  / 4,2.6 GHz,BGA 1023,22 nm,3MB,35 W,35
Core i3-4130T,Haswell,2  / 4,2.9 GHz,Socket 1150,22 nm,3MB,35 W,35
Core i3-4150T,Haswell,2  / 4,2.9 GHz,Socket 1150,22 nm,3MB,35 W,35
Core i3-4160T,Haswell,2  / 4,3.1 GHz,Socket 1150,22 nm,3MB,35 W,35
Core i3-4330T,Haswell,2  / 4,3 GHz,Socket 1150,22 nm,4MB,35 W,35
Core i3-4360T,Haswell,2  / 4,3.2 GHz,Socket 1150,22 nm,4MB,35 W,35
Core i3-7100T,Kaby Lake,2  / 4,3.4 GHz,Socket 1151,14 nm,3MB,35 W,35
Core i3-7120T,Kaby Lake,2  / 4,3.6 GHz,Socket 1151,14 nm,3MB,35 W,35
Core i3-7300T,Kaby Lake,2  / 4,3.5 GHz,Socket 1151,14 nm,4MB,35 W,35
Core i3-7320T,Kaby Lake,2  / 4,3.6 GHz,Socket 1151,14 nm,4MB,35 W,35
Core i3-8100T,Coffee Lake,4,3.1 GHz,Socket 1151,14 nm,6MB,35 W,35
Core i3-8300T,Coffee Lake,4,3.2 GHz,Socket 1151,14 nm,8MB,35 W,35
Core i5-11260H,Tiger Lake-H,6  / 12,2.6 to 4.4 GHz,BGA 1499,10 nm,12MB,35 W,35
Core i5-11400H,Tiger Lake-H,6  / 12,2.7 to 4.5 GHz,BGA 1499,10 nm,12MB,35 W,35
Core i5-11400T,Rocket Lake,6  / 12,1.3 to 3.7 GHz,Socket 1200,14 nm,12MB,35 W,35
Core i5-11500H,Tiger Lake-H,6  / 12,2.9 to 4.6 GHz,BGA 1499,10 nm,12MB,35 W,35
Core i5-11500T,Rocket Lake,6  / 12,1.5 to 3.9 GHz,Socket 1200,14 nm,12MB,35 W,35
Core i5-11600T,Rocket Lake,6  / 12,1.7 to 4.1 GHz,Socket 1200,14 nm,12MB,35 W,35
Core i5-3230M,Ivy Bridge,2  / 4,2.6 to 3.2 GHz,Socket G2 (988B),22 nm,3MB,35 W,35
Core i5-3230M,Ivy Bridge,2  / 4,2.6 to 3.2 GHz,BGA 1023,22 nm,3MB,35 W,35
Core i5-3340M,Ivy Bridge,2  / 4,2.7 to 3.4 GHz,BGA 1023,22 nm,3MB,35 W,35
Core i5-3340M,Ivy Bridge,2  / 4,2.7 to 3.4 GHz,Socket G2 (988B),22 nm,3MB,35 W,35
Core i5-3380M,Ivy Bridge,2  / 4,2.9 to 3.6 GHz,Socket G2 (988B),22 nm,3MB,35 W,35
Core i5-4570T,Haswell,2  / 4,2.9 to 3.6 GHz,Socket 1150,22 nm,4MB,35 W,35
Core i5-4570TE,Haswell,2  / 4,2.7 to 3.3 GHz,Socket 1150,22 nm,4MB,35 W,35
Core i5-7400T,Kaby Lake,4,2.4 to 3 GHz,Socket 1151,14 nm,6MB,35 W,35
Core i5-7500T,Kaby Lake,4,2.7 to 3.3 GHz,Socket 1151,14 nm,6MB,35 W,35
Core i5-7600T,Kaby Lake,4,2.8 to 3.7 GHz,Socket 1151,14 nm,6MB,35 W,35
Core i5-8400T,Coffee Lake,6,1.7 to 3.3 GHz,Socket 1151,14 nm,9MB,35 W,35
Core i5-8420T,Coffee Lake,6,1.8 to 3.4 GHz,Socket 1151,14 nm,9MB,35 W,35
Core i5-8500T,Coffee Lake,6,2.1 to 3.5 GHz,Socket 1151,14 nm,9MB,35 W,35
Core i5-8600T,Coffee Lake,6,2.3 to 3.7 GHz,Socket 1151,14 nm,9MB,35 W,35
Core i5-9400T,Coffee Lake,6,1.8 to 3.4 GHz,Socket 1151,14 nm,9MB,35 W,35
Core i7-11700T,Rocket Lake,8  / 16,1.4 to 4.6 GHz,Socket 1200,14 nm,16MB,35 W,35
Core i7-11800H,Tiger Lake-H,8  / 16,2.3 to 4.6 GHz,BGA 1499,10 nm,24MB,35 W,35
Core i7-11850H,Tiger Lake-H,8  / 16,2.5 to 4.8 GHz,BGA 1499,10 nm,24MB,35 W,35
Core i7-3540M,Ivy Bridge,2  / 4,3 to 3.7 GHz,Socket G2 (988B),22 nm,4MB,35 W,35
Core i7-3540M,Ivy Bridge,2  / 4,3 to 3.7 GHz,BGA 1023,22 nm,4MB,35 W,35
Core i7-4765T,Haswell,4  / 8,2 to 3 GHz,Socket 1150,22 nm,8MB,35 W,35
Core i7-6700T,Skylake,4  / 8,2.8 to 3.6 GHz,Socket 1151,14 nm,8MB,35 W,35
Core i7-6700TE,Skylake,4  / 8,2.4 to 3.4 GHz,Socket 1151,14 nm,8MB,35 W,35
Core i7-7700T,Kaby Lake,4  / 8,2.9 to 3.8 GHz,Socket 1151,14 nm,8MB,35 W,35
Core i7-8670T,Coffee Lake,6  / 12,2.3 to 3.7 GHz,Socket 1151,14 nm,12MB,35 W,35
Core i7-8700T,Coffee Lake,6  / 12,2.4 to 4 GHz,Socket 1151,14 nm,12MB,35 W,35
Core i9-11900H,Tiger Lake-H,8  / 16,2.5 to 4.9 GHz,BGA 1499,10 nm,24MB,35 W,35
Core i9-11900T,Rocket Lake,8  / 16,1.5 to 4.9 GHz,Socket 1200,14 nm,16MB,35 W,35
Core i9-11950H,Tiger Lake-H,8  / 16,2.6 to 5 GHz,BGA 1499,10 nm,24MB,35 W,35
Pentium 2030M,Ivy Bridge,2,2.5 GHz,Socket G2 (988B),22 nm,2MB,35 W,35
Pentium G2020T,Ivy Bridge,2,2.5 GHz,Socket 1155,22 nm,3MB,35 W,35
Pentium G3220T,Haswell,2,2.6 GHz,Socket 1150,22 nm,3MB,35 W,35
Pentium G3250T,Haswell,2,2.8 GHz,Socket 1150,22 nm,3MB,35 W,35
Pentium G3420T,Haswell,2,2.7 GHz,Socket 1150,22 nm,3MB,35 W,35
Pentium G3450T,Haswell,2,2.9 GHz,Socket 1150,22 nm,3MB,35 W,35
Pentium G4560T,Kaby Lake,2  / 4,2.9 GHz,Socket 1151,14 nm,3MB,35 W,35
Pentium G4600T,Kaby Lake,2  / 4,3 GHz,Socket 1151,14 nm,3MB,35 W,35
Pentium Gold G6405T,Comet Lake-R,2  / 4,3.5 GHz,Socket 1200,14 nm,4MB,35 W,35
Pentium Gold G6505T,Comet Lake-R,2  / 4,3.6 GHz,Socket 1200,14 nm,4MB,35 W,35
Xeon W-11855M,Tiger Lake-H,6  / 12,3.2 to 4.9 GHz,BGA 1499,10 nm,18MB,35 W,35
Xeon W-11955M,Tiger Lake-H,8  / 16,2.6 to 5 GHz,BGA 1499,10 nm,24MB,35 W,35
Celeron 2950M,Haswell,2,2000 MHz,Socket G2 (988B),22 nm,2MB,37 W,37
Celeron 2950M,Haswell,2,2000 MHz,Socket G3,22 nm,2MB,37 W,37
Core i3-4000M,Haswell,2  / 4,2.4 GHz,Socket G3,22 nm,3MB,37 W,37
Core i3-4100E,Haswell,2  / 4,2.4 GHz,BGA 1364,22 nm,3MB,37 W,37
Core i5-4300M,Haswell,2  / 4,2.6 to 3.6 GHz,Socket G3,22 nm,3MB,37 W,37
Core i5-4330M,Haswell,2  / 4,2.8 to 3.8 GHz,Socket G3,22 nm,3MB,37 W,37
Core i7-4600M,Haswell,2  / 4,2.9 to 3.6 GHz,Socket G3,22 nm,4MB,37 W,37
Core i7-4610M,Haswell,2  / 4,3 to 3.7 GHz,Socket G3,22 nm,4MB,37 W,37
